full_name,stargazers_count,forks_count,subscribers_count,open_issues_count,size,network_count,language,has_wiki,has_pages,has_issues,topics_count,age_days,created_at,pushed_at
refinedev/refine,34727,3047,144,39,8284923,3047,TypeScript,False,True,True,20,1943,2021-01-20T12:01:32Z,2026-05-07T16:01:41Z
laravel/framework,34711,11879,926,105,100528,11879,PHP,False,False,True,3,4875,2013-01-10T21:27:28Z,2026-05-17T19:50:49Z
BVLC/caffe,34599,18485,2057,1175,76170,18485,C++,True,True,True,3,4630,2013-09-12T18:39:48Z,2024-07-31T23:10:28Z
khoj-ai/khoj,34593,2203,167,99,117335,2203,Python,False,True,True,20,1736,2021-08-16T01:48:44Z,2026-03-26T03:35:43Z
PostHog/posthog,34552,2736,132,4139,5062733,2736,Python,False,True,True,15,2306,2020-01-23T22:46:58Z,2026-05-18T09:10:19Z
bytedance/UI-TARS-desktop,34522,3462,262,392,192834,3462,TypeScript,False,True,True,14,484,2025-01-19T09:04:43Z,2026-05-18T02:55:49Z
stanfordnlp/dspy,34496,2901,193,476,178548,2901,Python,True,False,True,0,1224,2023-01-09T21:01:51Z,2026-05-17T13:55:36Z
facebookresearch/detectron2,34477,7935,392,587,6871,7935,Python,False,False,True,0,2446,2019-09-05T21:30:20Z,2026-05-15T03:30:03Z
ItzCrazyKns/Vane,34454,3771,190,306,113096,3771,TypeScript,False,False,True,14,769,2024-04-09T10:51:32Z,2026-04-11T14:33:06Z
keycloak/keycloak,34444,8353,396,2825,591018,8353,Java,False,False,True,3,4702,2013-07-02T13:38:51Z,2026-05-18T08:24:16Z
firecracker-microvm/firecracker,34436,2394,348,82,39730,2394,Rust,False,False,True,9,3133,2017-10-19T06:18:47Z,2026-05-18T08:49:30Z
drizzle-team/drizzle-orm,34418,1390,86,1772,53044,1390,TypeScript,True,False,True,10,1789,2021-06-24T09:03:05Z,2026-05-15T10:54:00Z
jaredpalmer/formik,34364,2785,225,836,17152,2785,TypeScript,False,False,True,9,3259,2017-06-14T19:50:59Z,2025-11-10T17:02:06Z
xitu/gold-miner,34311,5004,1243,14,80499,5004,,True,False,True,10,3848,2015-11-04T03:29:13Z,2024-04-17T09:44:37Z
nodejs/node-v0.x-archive,34310,7235,32,0,144238,7235,,True,False,True,0,6199,2009-05-27T16:29:46Z,2024-08-15T20:32:32Z
qishibo/AnotherRedisDesktopManager,34289,2705,265,183,5533,2705,JavaScript,True,False,True,5,2687,2019-01-08T06:01:56Z,2025-10-16T02:30:58Z
python-poetry/poetry,34276,2442,184,556,24955,2442,Python,False,False,True,5,3000,2018-02-28T15:23:47Z,2026-05-17T17:45:28Z
TheAlgorithms/C-Plus-Plus,34263,7805,509,35,140614,7805,C++,False,True,True,16,3593,2016-07-16T10:19:45Z,2025-10-11T14:51:22Z
GorvGoyl/Clone-Wars,34215,3069,547,34,1904,3069,,True,True,True,9,1992,2020-12-02T11:10:16Z,2024-08-06T12:31:36Z
glanceapp/glance,34210,1326,78,319,20378,1326,Go,False,False,True,14,750,2024-04-27T18:55:38Z,2025-12-10T09:44:11Z
testerSunshine/12306,34176,9658,1,280,58570,9658,Python,True,False,True,0,3287,2017-05-17T12:23:40Z,2023-04-02T03:19:43Z
TheAlgorithms/JavaScript,34166,5856,621,200,3007,5856,JavaScript,True,False,True,14,3231,2017-07-13T06:12:33Z,2026-03-07T14:45:13Z
zenorocha/clipboard.js,34157,3915,411,15,3631,3915,JavaScript,True,True,True,2,3894,2015-09-18T23:04:55Z,2026-02-12T18:51:57Z
wailsapp/wails,34137,1685,153,406,407156,1685,Go,False,True,True,11,2710,2018-12-15T23:14:06Z,2026-05-18T00:44:34Z
Yeachan-Heo/oh-my-claudecode,34134,3131,127,7,56617,3131,TypeScript,True,False,True,10,129,2026-01-09T03:36:29Z,2026-05-18T02:00:24Z
chenfei-wu/TaskMatrix,34129,3226,293,257,41169,3226,Python,True,False,True,0,1173,2023-03-02T09:04:28Z,2024-01-06T02:41:20Z
utmapp/UTM,34111,1709,381,1032,50652,1709,Swift,True,False,True,9,2592,2019-04-12T16:09:24Z,2026-05-16T23:38:29Z
musistudio/claude-code-router,34110,2779,126,929,13894,2779,TypeScript,True,True,True,0,447,2025-02-25T02:17:18Z,2026-03-04T05:48:17Z
xkcoding/spring-boot-demo,34102,10945,1006,142,14194,10945,Java,True,False,True,9,3111,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z
CMU-Perceptual-Computing-Lab/openpose,34092,8052,902,359,86496,8052,C++,True,True,True,20,3310,2017-04-24T14:06:31Z,2024-08-03T01:59:11Z
SeleniumHQ/selenium,34083,8681,1249,179,2361804,8681,Java,True,True,True,8,4871,2013-01-14T21:40:56Z,2026-05-18T08:46:01Z
Dokploy/dokploy,34058,2471,102,538,29893,2471,TypeScript,True,False,True,14,759,2024-04-19T07:49:30Z,2026-05-13T07:25:43Z
ehang-io/nps,34055,6082,471,525,9168,6082,Go,True,True,True,15,2751,2018-11-04T13:22:51Z,2024-05-30T03:51:08Z
